Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081),ACE2/ENPEP/ACE/SERPINF2/AGTR2/AGTR1/AGT,ACE2,NA,1,1/374,0.0127977214204242,1
pantothenate metabolic process (GO:0015939),VNN1/VNN2/VNN3/PANK2/FASN/PDZD11/SLC5A6/AASDHPPT,PDZD11,NA,1,1/374,0.0167747462928842,1
regulation of keratinocyte migration (GO:0051547),FGF7/EPB41L4B/FGF10/PTEN/ADAM9/EPPK1/MMP9/MTOR,ADAM9,NA,1,1/374,0.0167747462928842,1
ER overload response (GO:0006983),GSK3B/WFS1/SELENOS/TMCO1/EIF2AK3/ATG10/TP53,WFS1/SELENOS,NA,2,2/374,0.000552204028856011,1
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",DIS3/RC3H1/SAMD4B/CNOT11/CNOT10/SAMD4A/CNOT6/PNLDC1/CNOT7/CNOT8/CNOT1/CNOT2/CNOT3/CNOT4/PABPC1/DCP1B/CNOT9/DCP1A/EIF4B/ZCCHC11/ZCCHC6/HBS1L/PARN/EXOSC8/EXOSC7/EXOSC6/EXOSC5/ZFP36/EXOSC9/EXOSC4/EIF4E/EXOSC3/EXOSC2/EXOSC1/CNOT6L/TTC37/PATL1/LSM2/LSM1/LSM6/LSM5/PATL2/LSM4/LSM3/PAN3/NT5C3B/PAN2/LSM7/WDR61/PDE12/EIF4G1/SKIV2L/DCP2/EIF4A3/EIF4A2/DDX6/EIF4A1/EDC3/EDC4/POLR2D/PAIP1/TNKS1BP1/DCPS,PABPC1/EXOSC8/EXOSC5/EXOSC3/EXOSC2,NA,5,5/374,0.00558642507384452,1
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",RHOA/RYK/SMURF2/SMURF1/WNT5A/PSMB9/PSMC6/PSMC4/PSMC5/PSMC2/PSMC3/PSMC1/ROR2/PFN1/PSMD11/PSMD10/PSMD13/PSMD12/CELSR1/PSMD14/CLTC/CELSR2/CELSR3/PSMB11/PSMB10/PSMD9/PARD6A/WNT11/PSMD7/PSMD8/PSMD5/PSMD6/DVL1/PSMD3/PSMD4/DVL2/PSMD1/DVL3/AP2S1/PSMD2/WNT1/RPS27A/MAGI2/FZD2/FZD1/FZD4/FZD3/FZD6/FZD5/FZD7/AP2B1/ARHGEF19/TIAM1/CDC42/PSMA6/PSMA7/VANGL1/PSMA4/PSMA5/PSMA2/PSMA3/PSME4/PSMA1/PSME2/PSME3/DAAM1/PSME1/UBA52/DVL1P1/AP2A2/ARRB2/PRICKLE1/PRICKLE2/AP2A1/PSMA8/PSMB7/PSMB8/PSMB5/PSMB6/UBC/PSMB3/PSMB4/UBB/PSMB1/PSMB2/PSMF1/RAC1/AP2M1,RHOA/PSMD8/AP2A2/UBC/AP2M1,NA,5,5/374,0.0261779308596603,1
snRNA 3'-end processing (GO:0034472),TOE1/CT45A10/INTS2/INTS1/USB1/SAGE1/INTS6/INTS7/INTS6L/CT45A8/CT45A9/CT45A5/CT45A6/CT45A7/CT45A1/CT45A2/CT45A3/EXOSC8/EXOSC7/EXOSC6/EXOSC5/EXOSC9/EXOSC4/EXOSC3/EXOSC2/SAGE2P,EXOSC8/EXOSC5/EXOSC3/EXOSC2,NA,4,4/374,0.000468441227935023,1
peptidyl-threonine modification (GO:0018210),GALNT8/ACVR1/GALNT7/GALNT6/GALNT5/GALNT4/GALNT3/GALNT2/OSR1/GALNT1/DCLK3/ACOD1/HIPK2/TGFBR1/DCLK2/TGFBR2/HIPK3/DCLK1/CDK5/GALNTL6/CDK10/GALNTL5/CDK1/CAMK1/ULK1/POC1B-GALNT4/GALNT13/PNCK/GALNT12/GSK3B/GALNT15/GSK3A/GALNT14/ROCK2/GALNT17/GALNT16/TNKS/LRRK2/GALNT18/GALNT11/GALNT10/STK33/CHEK1/CAMKV/STK39/CHEK2/AKT1/PSKH1/GALNT9/PSKH2/CAMK1D/PRKCD/DAPK2/CSNK2A1/MAP2K1/PDPK1/DAPK3/LMTK2/OXSR1/DYRK1A/TAF1/SBK1/WNK1/CSNK2B/MAP3K10/PRKD1/PRKD2/CDK5R1/CAMK1G/MAP3K12/MYLK2/CAMK2D/MYLK3/TTBK1/CAMK2A/CAMK2B/NLK/CAMKK1/ACVR1B/CAMKK2/MYLK4/STK11/MAPK8/PHKG2/TBK1/PHKG1/MAPK1/CAMK2G/MARK2,CDK1/AKT1/CSNK2B/TBK1/MARK2,NA,5,5/374,0.0274840216332942,1
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587),NGFR/PDCD10/APELA/PPP1R16B/HMOX1/APLNR/AGTR1/JCAD/THBS1/VEGFA/DLL4,HMOX1,NA,1,1/374,0.0313121388414287,1
RNA biosynthetic process (GO:0032774),NCOA6/TAF13/PRMT5/TAF12/TAF10/ELL3/SMARCA5/POLA1/TAF1/SETX/TCEA2/TAF7/TAF6/TCF4/TAF5/TAF4/PRIM1/NAT14/TTF2/TTF1/RSF1/HELB/POLR2A/TERT/SMN1/MTERF1,POLA1/PRIM1/NAT14,NA,3,3/374,0.00416027795935062,1
peptidyl-glutamic acid carboxylation (GO:0017187),F7/PROC/VKORC1L1/F9/VKORC1/F10/GGCX/BGLAP/PROS1/PROZ/F2,GGCX,NA,1,1/374,0.0313121388414287,1
chondroitin sulfate metabolic process (GO:0030204),CSGALNACT2/CHST9/CSGALNACT1/ARSB/CHST7/CHPF2/B3GAT3/B3GAT2/B3GAT1/BGN/DCN/VCAN/BCAN/CSPG5/CSPG4/CHST3/IDUA/HEXA/CHPF/NCAN/HEXB/NDNF/CHST12/HYAL1/CHST13/CHSY3/IDS/CHSY1/CHST11/CHST15,CHPF2/CHPF,NA,2,2/374,0.0413720776541887,1
membrane invagination (GO:0010324),HGS/SNX3/FCHO2/SMURF1/CHMP2A/CHMP4A/FNBP1L,CHMP2A,NA,1,1/374,0.0127977214204242,1
positive regulation of myeloid leukocyte differentiation (GO:0002763),IL34/CCR1/CD74/CTNNBIP1/TESC/RUNX1/LIF/PRKCA/POU4F1/POU4F2/IL17A/HAX1/CD4/EVI2B/IL23A/DCSTAMP/TRAF6/IFNG/HCLS1/ACIN1/PF4/LEF1/CSF1/IL23R/ZFP36L1/TNF/CASP8/OCSTAMP/TNFSF11/FADD/IL12B/RIPK1,TRAF6/RIPK1,NA,2,2/374,0.0486904778262524,1
negative regulation of leukocyte apoptotic process (GO:2000107),CCL21/LILRB1/NOD2/MERTK/CXCL12/AXL/SELENOS/HCLS1/IRF7/CCR7/CCL19/GAS6,SELENOS,NA,1,1/374,0.0369440363050621,1
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753),CHUK/ITCH/CYLD/TRAF6/UBE2V1/TAB3/TAB2/UBA52/TAB1/UBE2N/TNFAIP3/NOD1/NOD2/IKBKB/CASP8/UBC/IRAK2/UBB/IRAK1/RIPK2/MAP3K7/IKBKG/RPS27A/MAP2K6,TRAF6/UBC,NA,2,2/374,0.0230852010194687,1
positive regulation of interleukin-8 secretion (GO:2000484),F2R/TLR2/CD2/TLR1/PYCARD/HYAL2/NLRP10/F2RL1/FFAR2/CD14/LGALS9/CD58/CD244/FCN1,F2RL1,NA,1,1/374,0.049248425143498,1
selenocysteine incorporation (GO:0001514),EEFSEC/SELENOT/SECISBP2L/DIO2/SECISBP2/TRNAU1AP/SEPSECS,SEPSECS,NA,1,1/374,0.0127977214204242,1
cardiac muscle cell membrane repolarization (GO:0099622),KCNJ5/KCNE1/YWHAE/KCND3/KCNIP2/KCNQ1/ATP1A1/ATP1B1/KCNJ2/KCNJ3/KCNH2,ATP1B1,NA,1,1/374,0.0313121388414287,1
tRNA aminoacylation for mitochondrial protein translation (GO:0070127),AARS2/GARS/POLG2/YARS2/TARS2/DARS2/WARS2/EARS2,TARS2,NA,1,1/374,0.0167747462928842,1
response to manganese ion (GO:0010042),SLFN14/PRKN/ATP13A2/LRRK2/ADAM9/D2HGDH,ADAM9,NA,1,1/374,0.00929900216569043,1
long-chain fatty acid import (GO:0044539),FABP3/SLC27A2/ACSL3/ACSL1/SPX/SLC27A4/CD36,SLC27A2/ACSL3,NA,2,2/374,0.000552204028856011,1
DNA deamination (GO:0045006),CDADC1/APOBEC3D/AICDA/APOBEC3F/APOBEC3G/APOBEC3H/EXOSC6/EXOSC5/EXOSC4/EXOSC3/APOBEC3A/APOBEC3C,EXOSC5/EXOSC3,NA,2,2/374,0.00315265152326192,1
membrane repolarization during action potential (GO:0086011),KCNE1/KCNE2/YWHAE/KCND3/KCNIP2/KCNQ1/ATP1A1/ATP1B1/KCNJ2/KCNH2/KCNE1B,ATP1B1,NA,1,1/374,0.0313121388414287,1
regulation of ion homeostasis (GO:2000021),SLC30A8/CAMK2D/SLC30A7/HCN4/SLC30A4/SLC30A3/SLC30A6/FHL1/SLC30A5/NEDD4L/AP3D1/SLC30A2/SLC30A1/SLC30A10/AGT/PML/WNK1/WNK2/WNK3/WNK4/AGTR1/RANGRF/CORIN,SLC30A7/SLC30A6,NA,2,2/374,0.0205844719498634,1
establishment of epithelial cell apical/basal polarity (GO:0045198),RHOA/SH3BP1/MSN/OPHN1/MYO9A/SYNE4/SLC9A3R1/CDC42/CAMSAP3,RHOA/SLC9A3R1,NA,2,2/374,0.00127516627082133,1
gene silencing by miRNA (GO:0035195),STAT3/DICER1/WTIP/PUM2/PUM1/TARBP2/MOV10/CNOT6/SPOUT1/CNOT7/EIF6/CNOT8/CNOT1/AGO4/AGO2/AGO3/AGO1/PRKRA/AJUBA/TNRC6A/RAN/TNRC6C/TRIM71/ADAR/LIMD1/RBM4/ZFP36/ZC3H7B/XPO5/SNIP1/ZC3H7A,MOV10/SNIP1/ZC3H7A,NA,3,3/374,0.00791453651354465,1
histone phosphorylation (GO:0016572),RPS6KA5/CCNA2/RPS6KA4/PRKAA2/PRKCD/NEK11/CDK2/BAZ1B/MAP3K12,CDK2,NA,1,1/374,0.0212031977277593,1
positive regulation of T cell cytokine production (GO:0002726),FZD5/XCL1/RSAD2/TANK/MALT1/PRKCZ/IL6/TNFSF4/TRAF6/NLRP3/B2M/MAP3K7,TRAF6,NA,1,1/374,0.0369440363050621,1
mitochondrial respiratory chain complex assembly (GO:0033108),UQCC3/UQCC2/UQCC1/SCO2/SCO1/TMEM126B/SLC25A33/COX20/MT-ND5/MT-ND6/NDUFB11/NDUFB10/UQCR10/MT-ND3/MT-ND4/MT-ND1/MT-ND2/NDUFV3/NDUFV2/NDUFV1/SURF1/OXA1L/NDUFAF7/NDUFAF8/NDUFAF5/NDUFAF6/NDUFAF3/NDUFAF4/NDUFAF1/NDUFAF2/COX17/COX16/UQCRB/COX19/COX18/IMMP2L/COX14/ACAD9/COA5/COA4/COA3/COA1/NDUFC2/NDUFC1/TTC19/TIMM21/IMMP1L/ECSIT/NDUFS8/NDUFS7/LYRM7/NDUFS6/NDUFS5/NDUFS4/NDUFS3/NDUFS2/NDUFS1/PET117/NDUFB9/AARS2/NDUFB8/NDUFB7/DMAC2/NDUFB6/FASTKD3/NDUFB5/NDUFB4/DMAC1/NDUFB3/NDUFB2/NDUFB1/TAZ/NDUFA9/NDUFA8/TIMMDC1/NDUFA7/NUBPL/NDUFA6/NDUFA5/NDUFA3/PET100/NDUFA2/NDUFA1/BCS1L/SDHAF3/SDHAF4/NDUFAB1/SDHAF1/SDHAF2/SMIM20/NDUFA12/NDUFA13/NDUFA10/NDUFA11/FOXRED1/CHCHD5/SAMM50,NDUFAF1/NDUFAF2/ACAD9/ECSIT/NDUFB9/BCS1L,NA,6,6/374,0.0127113696663464,1
carbohydrate derivative biosynthetic process (GO:1901137),RRM2/G6PD/GK/TPI1/ALG8/RRM1/ALG6/TNIP1/ALG2/ALG11/GBGT1/SCCPDH/GOLPH3/A4GNT/RRM2B/B3GNT6/B3GNT5/A3GALT2/GALK2/DDR2/GK3P/GCNT1/GLT6D1/ABO/GK5/ST8SIA6/ST3GAL2/ST3GAL4/LARGE1,ALG8/ALG11/SCCPDH,NA,3,3/374,0.00622025582974729,1
endoplasmic reticulum membrane organization (GO:0090158),TRDN/RTN4/STX18/ARL6IP1/ATL2/ATL1,RTN4,NA,1,1/374,0.00929900216569043,1
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)",TSEN34/TSEN15/CPSF1/CPSF4/RTCB/DDX1/ZBTB8OS/C2ORF49/TSEN2/TSEN54/CLP1/CSTF2/FAM98B,DDX1,NA,1,1/374,0.0429301060251057,1
positive regulation of secretion by cell (GO:1903532),TGFB1/RAB2B/UNC13D/EDN1/TGFB3/TGFB2/EDN3/UNC13B/KCNB1/ATP13A2/GOLPH3L/DTNBP1/SOX11/SYTL4/BMP6/IL1A/PPIA/ADAM9/ADAM8/EXOC1/STX1B/PPID/STX1A/ACHE/STXBP5/GRK2/GPER1/CLASP1/ANKRD1/EXPH5/MYH10/FGA/CLASP2/FGB/FGG/ATP6AP1/RAB27A/RAB27B/IGF1/RGCC/GOLPH3/RAB9A/ANG/RAB5A/EZR/CFTR/MYOM1/RAB3A/PLA2G1B/TTN/MYO18A/DNM1L,PPIA/ADAM9/ATP6AP1,NA,3,3/374,0.0447870558524557,1
cholesterol import (GO:0070508),STARD4/STARD5/APOA1/CD36/SCARB1/LDLR,SCARB1,NA,1,1/374,0.00929900216569043,1
regulation of osteoclast development (GO:2001204),FBXW7/NOTCH2/ATP6AP1/LILRB1/LTF/FBN1,ATP6AP1/FBN1,NA,2,2/374,0.000321699005697722,1
intracellular cholesterol transport (GO:0032367),STARD4/ABCA1/VPS4A/NPC2/LRP6/ABCG1/SERAC1/LDLRAP1/LDLR/SYT7,NPC2,NA,1,1/374,0.026057258962688,1
snRNA metabolic process (GO:0016073),INTS12/MEPCE/INTS2/INTS1/INTS4/INTS10/INTS3/INTS11/RPAP2/SNAPC2/SNAPC3/SNAPC4/INTS6/INTS5/INTS8/TUT1/INTS7/INTS9,MEPCE/INTS4,NA,2,2/374,0.0104273578547051,1
regulation of coenzyme metabolic process (GO:0051196),RANBP2/GCKR/ECD/PGAM1/NUP214/NDC1/NUP153/NUP210/NUP133/NUP155/GCK/NUP93/NUP50/EIF6/NUP98/NUP54/NUP35/NUP58/OGT/NUPL2/NUP37/POM121/NUP205/NUP107/SEH1L/CELSR1/PRKAG2/NUP188/PRKAG1/NUP160/AAAS/TPR/NUP43/POM121C/NUP85/NUP62/ME1/NUP88/RAE1,NUP214/NUP210/NUP98/NUP54/NUP58/NUP62/NUP88/RAE1,NA,8,8/374,4.92242076546611e-07,0.00251191131661735
cellular response to peptide hormone stimulus (GO:0071375),DENND4C/GCG/GCK/CPEB2/RAB31/CPEB1/CAPN10/SELENOS/SLC25A33/RELA/ADCY1/ZFP36L1/ADCY5/ADCY4/ADCY3/ADCY2/ADCY9/ADCY8/ADCY7/FOXO1/ADCY6/CRHBP/GNG2/GNG4/GNG3/GNG5/GNG8/GNG7/AKT1/AKT2/INSR/GPLD1/PRKCI/XBP1/PRKCD/GOT1/MYO5A/INHBB/NFKB1/NR4A3/NR4A2/GNB1/PIK3R1/PRKAR1B/GNB3/PRKAR1A/GNB2/GNB4/VAMP2/SYAP1/CRHR1/IRS1/IRS2/SLC2A4/PRKDC/SLC30A10/NR4A1/PRKACG/GNG11/GNG10/CYP11A1/PRKAR2B/PRKAR2A/INPP5K/PRKACB/PRKACA/CAV1/GNG13/GNG12/RHOQ/KAT2B/CEACAM1/FER/CYP11B2/CYP11B1/PDE3B/GSK3A/C2CD5/PCSK9/PIK3R2/GPER1/GNRHR/PCK2/PCK1/ADIPOQ/LHCGR/PKLR/GNRHR2/PDPK1/PARP1/GCGR/SORBS1/TSHR/USF1/PKM/RAB10/TBC1D4/RPS6KB1/RAB13/MARS/PPARG/MGARP/TRIB3/HDAC5/SRC/PLA2G1B/HDAC9/ENPP1/RAB8A/RAB8B,SELENOS/GNG5/AKT1/GNB1/PRKDC/PRKAR2B/PRKAR2A/PRKACA/RAB10/RAB8A,NA,10,10/374,0.000126495553863592,0.645506811365912
mRNA destabilization (GO:0061157),YTHDF2/UPF1/YTHDF3/METTL3/TRIM71/RC3H1/ZFP36L1/PUM1/MEX3D/ZFP36L2/GIGYF2/ZC3H12D/KHSRP/METTL14/ZFP36/ZC3H12A/CPEB3/METTL16,UPF1/GIGYF2,NA,2,2/374,0.0104273578547051,1
establishment of protein localization to endoplasmic reticulum (GO:0072599),RYR2/PMM2/PMM1/SRPRA/SRP68/SRP14/SPCS3/SPCS2/RAB10/SPCS1/SEC61A1/SEC61G/SRP54/RAB3GAP2/RAB3GAP1,RAB10/SRP54,NA,2,2/374,0.00615644152085002,1
positive regulation of protein localization to centrosome (GO:1904781),PARD6A/GSK3B/APC/NUP62/CEP250/BICD1,NUP62/CEP250,NA,2,2/374,0.000321699005697722,1
regulation of catabolic process (GO:0009894),ITGB1/FAF1/FURIN/ODC1/RARRES2/NEDD4L/SNF8/HGS/FAP/CHEK2/FAM83D/MDM2,ITGB1,NA,1,1/374,0.0369440363050621,1
negative regulation of glycogen biosynthetic process (GO:0045719),GSK3B/GSK3A/SELENOS/ENPP1/INPP5K/PASK,SELENOS,NA,1,1/374,0.00929900216569043,1
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),CPSF2/CPSF1/CPSF4/NUP214/CPSF3/ALYREF/UPF3B/NUP210/SRRM1/NUP93/DDX39A/DDX39B/NUP98/SARNP/ZC3H11A/SRSF3/SRSF4/SRSF5/SRSF6/SRSF7/CHTOP/SRSF9/NUP205/SRSF1/SRSF2/CASC3/NUP160/MAGOH/NXF1/NXF2/NXF3/NUP85/DHX38/IGFLR1/NUP88/RAE1/NXF5/NUP153/NUP155/RNPS1/POM121/AAAS/GLE1/ALKBH5/TPR/RBMX2/POM121C/NUP62/AGFG1/UPF2/UPF1/EIF5A/NCBP2/NCBP1/NDC1/NUP133/WDR33/MAGOHB/DDX19A/DDX19B/NUP50/NUP54/NUP58/BUD13/SLU7/SLBP/SEH1L/RBM8A/NUP43/SYMPK/EIF4E/RANBP2/THOC2/THOC1/THOC3/THOC6/CDC40/THOC5/THOC7/HNRNPA2B1/NUP35/NUPL2/NUP37/FYTTD1/EIF4A3/SMG5/NXT1/NUP107/DDX25/POLDIP3/SMG1/U2AF2/NUP188/U2AF1/SMG6/SMG7/HHEX/FIP1L1/SRSF10/SRSF11,NUP214/NUP210/NUP98/NUP88/RAE1/NUP62/UPF1/NUP54/NUP58/SLU7,NA,10,10/374,5.28659456906873e-05,0.269774920859577
regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909),CAMK2D/HCN4/CAV3/CAV1/AKAP9/ATP2A2/FGF13/RANGRF,AKAP9,NA,1,1/374,0.0167747462928842,1
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266),GEN1/CDT1/ANAPC15/DUSP1/PCID2/USP44/XRCC3/NDC80/DYNC1LI1/CCNB1/TPR/CDK5RAP2/LCMT1/MAD2L1,CDK5RAP2,NA,1,1/374,0.049248425143498,1
purine-containing compound catabolic process (GO:0072523),GPX1/GDA/NUDT1/DNPH1/NT5C2/PNP/NT5C1A/NT5E/DPYD/NT5C1B/NT5C/ITPA/XDH/NUDT15,GPX1,NA,1,1/374,0.049248425143498,1
positive regulation of blood vessel diameter (GO:0097755),NANOS2/BMPR2/NANOS1/NOS3/EPHX2/ADM/INS/SCPEP1/CPS1/GPER1/HMOX1/AGTR2/F2RL1/PTGDR,HMOX1/F2RL1,NA,2,2/374,0.0050201913147524,1
microtubule anchoring (GO:0034453),MBD1/BCCIP/GCC2/BICD1/PEX14/BICD2/CAMSAP3/CLASP1/DAG1/SAXO1/SAXO2/CLASP2,GCC2,NA,1,1/374,0.0369440363050621,1
global genome nucleotide-excision repair (GO:0070911),UBE2I/USP45/PARP1/CHD1L/GTF2H1/RAD23B/GTF2H2/GTF2H3/GTF2H4/GTF2H5/RBX1/DDB2/CUL4B/ERCC1/CUL4A/DDB1/ERCC4/ERCC2/ERCC3/UBE2V2/UBA52/UBE2N/CETN2/XPA/XPC/UBC/SUMO2/SUMO1/UBB/SUMO3/RPS27A/RNF111,RBX1/UBC,NA,2,2/374,0.0486904778262524,1
Golgi inheritance (GO:0048313),PDCD10/STK25/GBF1/PLK3/GOLGA2/CDK1/VRK1/STX5/YWHAZ,GOLGA2/CDK1,NA,2,2/374,0.00127516627082133,1
negative regulation of glucose transport (GO:0010829),RSC1A1/IL1B/GSK3A/SELENOS/ENPP1/LEP/INPP5K/PEA15/PRKCB/GRB10,SELENOS,NA,1,1/374,0.026057258962688,1
vesicle-mediated transport to the plasma membrane (GO:0098876),ARFGEF2/ANKRD27/OSBPL5/EXOC6B/COMMD1/RAB11B/RAB10/C16ORF62/SNX17/EXOC5/EXOC4/LLGL1/CCDC22/GOPC/EXOC6/STEAP2/EXOC1/VPS29/CHIC2/SDCCAG3/WASHC2C/SNX31/VPS26A/MICALL1/SNX27/STXBP6/VPS35/CCDC93/ANKRD50/WASHC1/VPS39,RAB10/VPS39,NA,2,2/374,0.0449568142049719,1
regulation of protein localization to plasma membrane (GO:1903076),TGFB1/ITGA3/STX8/RHOG/PPP2R5A/TMBIM1/RHOQ/DAB2/CDK5/IFNG/MRAP/PTPN9/EPHA2/SQSTM1/NUMB/EPHA3/RAMP3/VPS4A/LRP1/CLTC/CIB1/AKAP5/EGFR/TREM2/NKD2/KIF5B/GPER1/AKT1/STX7/VTI1B/PPFIA1/GBP1/STX4/STX3/SPTBN1/PRKCH/PRKCI/ARHGEF16/STAC/PDPK1/PRKCE/SORBS1/CNPY4/TMEM59/PICALM/CLIP3/DLG1/VAMP8/PIK3R1/WNK3/STAC3/BCL2L1/MRAP2/RANGRF/ARF6/PID1/LRRC15/DPP10/ITGB1/AKR1B1/INS/LDLRAP1/AGR2/PLS1/APPL1/EPHB2/AP2M1,AKT1/ARF6/ITGB1/AP2M1,NA,4,4/374,0.0291995591395309,1
vitamin transmembrane transport (GO:0035461),LRP2/SLC46A1/SLC25A32/STRA6/C2ORF83/SLC19A2/SCARB1/SLC19A3/SLC5A6,SCARB1,NA,1,1/374,0.0212031977277593,1
isotype switching (GO:0045190),RNF168/EXOSC6/MSH6/LIG4/MSH2/RNF8/HSPD1/CD40LG/CCR6/EXOSC3/BATF,EXOSC3,NA,1,1/374,0.0313121388414287,1
positive regulation of endothelial cell apoptotic process (GO:2000353),RGCC/CD40/PRKCI/GPER1/PDCD4/AKR1C3/THBS1/FASLG/CD40LG/ANO6/ECSCR,ANO6,NA,1,1/374,0.0313121388414287,1
"regulation of retrograde protein transport, ER to cytosol (GO:1904152)",BRSK2/BCAP31/EDEM1/EDEM2/DERL2/DERL3/UBE2G2/UBE2J1/SVIP/UBAC2/OS9/ERLEC1,OS9/ERLEC1,NA,2,2/374,0.00315265152326192,1
positive regulation of protein depolymerization (GO:1901881),SEMA5A/WDR1/PLEK/KATNB1/TRPV4/PDXP/SLN/STMN2/CFL2/F2RL1/NES/VIL1,F2RL1,NA,1,1/374,0.0369440363050621,1
DNA strand elongation (GO:0022616),GINS2/DCLRE1B/GINS3/RFC4/GINS1/RFC3/GINS4/RAD50/POLA1/ARTN/TERT/POLD2/MRE11,POLA1,NA,1,1/374,0.0429301060251057,1
positive regulation of microtubule polymerization (GO:0031116),CAV3/NAV3/FES/PSRC1/CLIP1/MAPT/HSPA1A/MET/CDK5R1/MAPRE1/HSPA1B/NUMA1/AKAP9/ARL2/DCTN1/SLAIN2/MECP2/PAK1/TOGARAM1/CDK5RAP2/CLASP1/RAC1/ANKRD53/RPS3,AKAP9/CDK5RAP2,NA,2,2/374,0.0230852010194687,1
non-recombinational repair (GO:0000726),LIG4/LIG3/POLA1/HIST3H3/HIST1H4A/PRPF19/ARTN/ATM/MRE11/UBE2N/DCLRE1C/DCLRE1B/ABRAXAS1/PSMD14/ATP23/BRCA1/RNF8/BABAM2/BABAM1/HERC2/UIMC1/NSD2/NHEJ1/DCLRE1A/PIAS4/KDM2A/XRCC5/XRCC6/H2AFX/XRCC4/RAD50/SETMAR/ERCC1/RNF168/RAD52/ERCC4/UBE2V2/MDC1/PAXIP1/BRCC3/PRKDC/SUMO1/KAT5/PAXX/POLM/TP53BP1/POLL/INSL6/BARD1,POLA1/NSD2/PRKDC,NA,3,3/374,0.0371931331638169,1
regulation of glomerular filtration (GO:0003093),F2R/PTPRO/F2RL1/PDGFB/EMP2/GAS6,F2RL1,NA,1,1/374,0.00929900216569043,1
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042),CXADR/DSP/JUP/PKP2/DSG2/CTNNA3/DSC2,PKP2,NA,1,1/374,0.0127977214204242,1
rRNA 3'-end processing (GO:0031125),RPSA/EXOSC8/EXOSC7/EXOSC6/EXOSC5/ERI1/ERI2/EXOSC9/RPS21/EXOSC4/EXOSC3/EXOSC2,EXOSC8/EXOSC5/EXOSC3/EXOSC2,NA,4,4/374,7.59767439092284e-06,0.0387709324168792
positive regulation of protein glycosylation (GO:0060050),ARFGEF1/CHORDC1/GOLGA2/SLC51B/RAMP1/ALG10B,GOLGA2,NA,1,1/374,0.00929900216569043,1
regulation of cellular protein catabolic process (GO:1903362),RIC1/HSP90AA1/RDX/MSN/UQCC2/PTTG1IP/ATRAID/DAB2IP/AMER1/NELL1/RGP1/WDR91/VPS11/VPS35/EZR/DACT1/CDK5RAP3,RDX/VPS11,NA,2,2/374,0.00885645339334429,1
regulation of hippo signaling (GO:0035330),WWC1/DLG5/WWC2/NEK8/WWC3/NF2/WTIP/AJUBA/LIMD1/SOX11/MARK3,MARK3,NA,1,1/374,0.0313121388414287,1
ribonucleoside monophosphate biosynthetic process (GO:0009156),PAICS/PFAS/ADSL/ADK/GMPS/ATIC/IMPDH1/IMPDH2/PPAT/ADSSL1/RFK/LHPP/GART/ADSS,IMPDH2,NA,1,1/374,0.049248425143498,1
